ruolo,codice_fiscale,email
specialista,LSEMRC80A01H501U,marco@nutrease.it
segretaria,RSSGLI85M50H501Z,segreteria@nutrease.it
paziente,VRDMRR90A01H501Q,mario@email.it
paziente,BNCLRA95B45H501W,laura@email.it
paziente,RSSGNN88C12H501A,gio@email.it
paziente,GLLGIA92D50H501B,giulia@email.it
paziente,FRRMRC85E15H501C,marco.f@email.it
paziente,ESPANT82H25H501D,anna@email.it
paziente,RMNCHR98L55H501E,chiara@email.it
paziente,CLBALE00M18H501F,ale@email.it
paziente,RCCSRA87P48H501G,sara@email.it
paziente,MRNMAT93S22H501H,mattia@email.it
paziente,GRCFRN80T58H501I,francesca@email.it
paziente,BRNDVD75B14H501J,davide@email.it
paziente,GLLMRT99C65H501K,martina@email.it
paziente,CNTFED84D28H501L,fede@email.it
paziente,DLCSLV91E42H501M,silvia@email.it
paziente,MNCMIC86F16H501N,michele@email.it
paziente,CSTELN94G54H501O,elena@email.it
paziente,GRDGBR89H21H501P,gabry@email.it
paziente,RZZBTR96I66H501Q,bea@email.it
paziente,LMBLNZ81L11H501R,lorenzo@email.it
paziente,MRTGRG90M49H501S,giorgia@email.it
paziente,BRBRCC83A05H501T,riki@email.it
paziente,FNTLCE97B63H501U,alice@email.it
paziente,SNTTOM88C29H501V,tommy@email.it
paziente,MRIGRV01D51H501W,ginevra@email.it
paziente,RNLSMN79E19H501X,simo@email.it
paziente,CRSEMM95F55H501Y,emma@email.it
paziente,FRRPLA85G07H501Z,paolo@email.it
paziente,GLLGRT92H62H501A,greta@email.it
paziente,MRTEDO89I03H501B,edo@email.it
paziente,TSTPLA00A00H501Z,test.senzapiano@nutrease.it
